4 25 36 3 3 33 6 16 37 4 8 25 49 3 6 101 48 25 87 4 14 9 71 13 91 5 62 
32 9 61 61 14 7 24 31 15 10 20 34 13 8 20 7 32 46 10 65 74 5 35 14 3 21 6 
16 19 13 51 16 15 5 47 41 6 23 10 6 24 18 13 23 43 33 27 12 34 40 72 8 28 60 
43 18 40 25 21 13 29 12 10 8 8 21 5 33 16 79 5 4 48 43 23 10 26 15 23 48 19 
24 23 17 111 19 17 30 24 9 5 47 118 4 24 47 4 41 6 19 18 50 33 4 43 26 23 37 
32 16 30 62 118 8 41 15 11 29 15 15 22 33 23 39 29 4 37 22 8 91 16 46 34 21 64 
42 4 53 11 14 9 29 47 9 18 89 10 17 3 53 94 17 14 90 10 7 26 14 35 80 8 16 
46 12 7 32 20 17 3 21 46 3 49 5 15 6 4 10 29 18 10 10 19 16 55 13 109 5 112 
21 39 11 121 5 3 65 14 29 48 46 47 53 20 12 25 17 32 11 41 22 17 19 3 31 31 74 
11 32 18 27 14 3 10 25 14 4 55 29 9 40 59 18 63 19 24 123 12 48 18 20 7 13 16 
27 86 14 14 17 13 85 10 7 41 20 56 13 19 23 14 36 9 79 4 6 16 104 55 14 5 18 
17 40 34 51 30 21 89 43 4 34 8 7 3 15 98 6 60 5 12 67 26 50 12 27 41 9 12 
6 29 20 30 12 23 40 33 7 19 28 23 7 59 56 38 89 22 14 3 20 18 22 10 26 4 3 
44 13 5 21 12 97 9 52 107 7 42 29 43 62 7 37 4 23 16 12 16 20 4 53 10 29 18 
22 14 14 4 11 9 9 34 3 14 31 7 28 38 7 4 20 4 26 25 14 23 16 9 48 11 16 
39 28 36 12 8 20 18 19 5 37 19 15 20 19 51 9 15 12 12 17 19 12 6 143 31 66 21 
90 17 33 19 3 13 16 57 27 42 18 13 7 41 19 6 36 37 23 8 3 70 46 15 4 7 8 
20 9 14 3 23 6 26 7 7 11 68 10 15 74 52 8 6 18 6 10 50 60 33 6 38 24 78 
15 37 21 30 3 28 80 13 4 80 97 9 5 24 3 24 66 24 15 31 11 40 13 13 4 21 27 
9 6 3 4 5 27 41 36 43 15 46 18 33 46 25 37 27 14 26 35 16 33 52 3 23 44 38 
44 61 13 3 7 7 44 10 16 5 16 14 17 31 32 33 7 25 42 7 56 18 3 6 48 46 20 
42 24 4 56 8 9 10 8 16 5 32 20 5 66 32 11 11 23 3 18 25 10 24 128 56 67 12 
63 52 31 21 84 5 29 29 31 17 8 9 9 60 50 30 37 8 7 40 5 23 14 4 15 16 6 
7 31 28 14 19 14 16 111 33 3 20 50 11 17 11 8 13 15 9 54 7 9 18 12 29 8 11 
42 8 37 24 3 7 26 27 19 7 11 39 8 14 6 51 9 5 19 45 20 21 33 23 3 9 62 
31 42 6 54 6 57 6 4 30 43 10 36 4 24 15 76 32 38 88 29 10 32 15 75 27 17 8 
5 14 21 50 66 22 11 20 50 7 52 5 59 4 21 6 64 5 4 11 31 6 9 27 17 17 32 
6 60 47 38 17 5 3 16 11 26 3 16 5 10 51 6 49 34 25 31 45 22 41 23 6 22 25 
46 17 54 12 30 34 12 105 16 7 29 21 29 45 6 6 19 59 40 35 3 18 29 11 21 21 63 
